ID,commune_ID,localite,localite_ID,source
515,10601,dagamanet,bureau_10601047,voting_lists
516,10601,dagamanet,bureau_10601048,voting_lists
517,10601,dagamanet,bureau_10601049,voting_lists
518,10601,dagamanet,bureau_10601050,voting_lists
519,10601,dagamanet,bureau_10601051,voting_lists
520,10601,dagamanet,bureau_10601052,voting_lists
521,10601,dagamanet,bureau_10601053,voting_lists
522,10601,dagamanet,bureau_10601054,voting_lists
523,10601,dagamanet,bureau_10601055,voting_lists
524,10601,dagamanet,bureau_10601056,voting_lists
525,10601,dagamanet,bureau_10601057,voting_lists
526,10601,oumour dan nafalla,bureau_10601058,voting_lists
527,10601,oumour dan nafalla,bureau_10601059,voting_lists
528,10601,oumour dan nafalla,bureau_10601060,voting_lists
529,10601,oumour dan magass,bureau_10601061,voting_lists
530,10601,oumour dan magass,bureau_10601062,voting_lists
531,10601,oumour dan magass,bureau_10601063,voting_lists
532,10601,oumour dan magass,bureau_10601064,voting_lists
533,10601,hougbery,bureau_10601065,voting_lists
534,10601,angoual bahi,bureau_10601066,voting_lists
535,10601,founemey,bureau_10601067,voting_lists
536,10601,indoudou,bureau_10601068,voting_lists
537,10601,tadlanfaye,bureau_10601069,voting_lists
538,10601,tadlanfaye,bureau_10601070,voting_lists
539,10601,tadlanfaye,bureau_10601071,voting_lists
540,10601,dari,bureau_10601072,voting_lists
541,10601,ourey,bureau_10601073,voting_lists
542,10601,tchibinitan,bureau_10601074,voting_lists
543,10601,inabizguine,bureau_10601075,voting_lists
544,10601,timiote,bureau_10601076,voting_lists
545,10601,imbaktan,bureau_10601077,voting_lists
546,10601,tajajarat,bureau_10601078,voting_lists
547,10601,alabad,bureau_10601079,voting_lists
548,10601,toudoun bila,bureau_10601080,voting_lists
549,10601,tchiguene,bureau_10601081,voting_lists
