"ID","commune_ID","localite","localite_ID","source","ID","commune_ID","localite","localite_ID","source"
"267","10302","latey","RENALOC_267","RENALOC","254","10302","lateye","bureau_10302017","voting_lists"
"268","10302","tchouwoye","RENALOC_268","RENALOC","255","10302","tchouweye","bureau_10302018","voting_lists"
"270","10303","chirfa","RENALOC_270","RENALOC","256","10303","chirfa","bureau_10303001","voting_lists"
"272","10303","siguidine","RENALOC_272","RENALOC","258","10303","siguidine","bureau_10303003","voting_lists"
"274","10303","yaba","RENALOC_274","RENALOC","257","10303","yaba","bureau_10303002","voting_lists"
"275","10304","fachi","RENALOC_275","RENALOC","259","10304","fachi","bureau_10304001","voting_lists"
"275","10304","fachi","RENALOC_275","RENALOC","260","10304","fachi","bureau_10304002","voting_lists"
"275","10304","fachi","RENALOC_275","RENALOC","261","10304","fachi","bureau_10304003","voting_lists"
"275","10304","fachi","RENALOC_275","RENALOC","262","10304","fachi","bureau_10304004","voting_lists"
"284","10401","afis","RENALOC_284","RENALOC","274","10401","afis","bureau_10401011","voting_lists"
"285","10401","agalal","RENALOC_285","RENALOC","291","10401","agalal 1","bureau_10401028","voting_lists"
"285","10401","agalal","RENALOC_285","RENALOC","292","10401","agalal 2","bureau_10401029","voting_lists"
"298","10401","anekri","RENALOC_298","RENALOC","282","10401","aneker","bureau_10401019","voting_lists"
"300","10401","anouwacharan et","RENALOC_300","RENALOC","286","10401","anouwacharan","bureau_10401023","voting_lists"
"304","10401","awey","RENALOC_304","RENALOC","280","10401","awey","bureau_10401017","voting_lists"
"309","10401","bojni","RENALOC_309","RENALOC","289","10401","bojni","bureau_10401026","voting_lists"
"311","10401","ebourkoum","RENALOC_311","RENALOC","272","10401","ebourkoum","bureau_10401009","voting_lists"
"318","10401","etaghass","RENALOC_318","RENALOC","271","10401","etaghass","bureau_10401008","voting_lists"
"325","10401","ifigua","RENALOC_325","RENALOC","288","10401","ifigua","bureau_10401025","voting_lists"
"330","10401","inawak","RENALOC_330","RENALOC","283","10401","inawak","bureau_10401020","voting_lists"
"350","10401","oumaratti","RENALOC_350","RENALOC","296","10401","oumarat","bureau_10401033","voting_lists"
"352","10401","sidawat","RENALOC_352","RENALOC","287","10401","sidawat","bureau_10401024","voting_lists"
"353","10401","souloufiet","RENALOC_353","RENALOC","269","10401","souloufiet","bureau_10401006","voting_lists"
"364","10401","taghmert elagh","RENALOC_364","RENALOC","279","10401","taghmert","bureau_10401016","voting_lists"
"366","10401","tagmert","RENALOC_366","RENALOC","279","10401","taghmert","bureau_10401016","voting_lists"
"368","10401","taghajit","RENALOC_368","RENALOC","299","10401","taghajit","bureau_10401036","voting_lists"
"370","10401","takemoust","RENALOC_370","RENALOC","281","10401","takemoust","bureau_10401018","voting_lists"
"384","10401","tarainat","RENALOC_384","RENALOC","300","10401","tarainat","bureau_10401037","voting_lists"
"386","10401","tarinkit zakat","RENALOC_386","RENALOC","270","10401","tarinkite","bureau_10401007","voting_lists"
"387","10401","tarinkite","RENALOC_387","RENALOC","270","10401","tarinkite","bureau_10401007","voting_lists"
"391","10401","tazorat","RENALOC_391","RENALOC","284","10401","tazorat","bureau_10401021","voting_lists"
"392","10401","tazouroute","RENALOC_392","RENALOC","284","10401","tazorat","bureau_10401021","voting_lists"
"395","10401","tchinfinetene","RENALOC_395","RENALOC","268","10401","tchinfinitene","bureau_10401005","voting_lists"
"397","10401","tchistan","RENALOC_397","RENALOC","290","10401","tchistan","bureau_10401027","voting_lists"
"398","10401","tchiyaran","RENALOC_398","RENALOC","293","10401","tchiyeran","bureau_10401030","voting_lists"
"400","10401","tefess","RENALOC_400","RENALOC","285","10401","tefess","bureau_10401022","voting_lists"
"401","10401","teghawghaw","RENALOC_401","RENALOC","294","10401","teghawghaw","bureau_10401031","voting_lists"
"419","10402","abaykoss","RENALOC_419","RENALOC","321","10402","aboykoss","bureau_10402019","voting_lists"
"420","10402","abarakan","RENALOC_420","RENALOC","311","10402","abarakan","bureau_10402009","voting_lists"
"427","10402","agirou","RENALOC_427","RENALOC","316","10402","ajirou","bureau_10402014","voting_lists"
"428","10402","ajiwa","RENALOC_428","RENALOC","322","10402","ajiwa","bureau_10402020","voting_lists"
"434","10402","anifissag","RENALOC_434","RENALOC","317","10402","anfissag","bureau_10402015","voting_lists"
"435","10402","anou waytaran","RENALOC_435","RENALOC","341","10402","annou waytaran","bureau_10402039","voting_lists"
"438","10402","aritawa1","RENALOC_438","RENALOC","332","10402","aritawa 1","bureau_10402030","voting_lists"
"439","10402","aritawa2","RENALOC_439","RENALOC","332","10402","aritawa 1","bureau_10402030","voting_lists"
"441","10402","asligh","RENALOC_441","RENALOC","314","10402","asligh","bureau_10402012","voting_lists"
"442","10402","assodei","RENALOC_442","RENALOC","328","10402","assodei","bureau_10402026","voting_lists"
"459","10402","gabarat","RENALOC_459","RENALOC","337","10402","gabarat","bureau_10402035","voting_lists"
"466","10402","iboul","RENALOC_466","RENALOC","333","10402","iboul","bureau_10402031","voting_lists"
"467","10402","edawdene","RENALOC_467","RENALOC","318","10402","edawdane","bureau_10402016","voting_lists"
"472","10402","injiran et takarkawat","RENALOC_472","RENALOC","329","10402","injiran et takarkawat","bureau_10402027","voting_lists"
"473","10402","intadeine","RENALOC_473","RENALOC","336","10402","intadeine","bureau_10402034","voting_lists"
"474","10402","intaye","RENALOC_474","RENALOC","330","10402","intaye","bureau_10402028","voting_lists"
