"ID","commune_ID","localite","localite_ID","source","ID","commune_ID","localite","localite_ID","source"
"330","10501","tchinsakanan harouna","RENACOM_330","RENACOM","398","10501","tchinsakane","bureau_10501053","voting_lists"
"333","10501","tiblilik","RENACOM_333","RENACOM","359","10501","tiblelik","bureau_10501014","voting_lists"
"334","10501","inwazab","RENACOM_334","RENACOM","356","10501","inwazab","bureau_10501011","voting_lists"
"335","10501","kokari","RENACOM_335","RENACOM","369","10501","kokari","bureau_10501024","voting_lists"
"336","10501","takoukout","RENACOM_336","RENACOM","367","10501","takoukoute /ingall","bureau_10501022","voting_lists"
"337","10501","amantadan","RENACOM_337","RENACOM","351","10501","amantadante","bureau_10501006","voting_lists"
"339","10501","gani","RENACOM_339","RENACOM","397","10501","gani","bureau_10501052","voting_lists"
"349","10501","mozababou","RENACOM_349","RENACOM","391","10501","mazababou","bureau_10501046","voting_lists"
"356","10501","tabhout","RENACOM_356","RENACOM","400","10501","tabhaout","bureau_10501055","voting_lists"
"361","10501","agaray garey","RENACOM_361","RENACOM","370","10501","agareygarey","bureau_10501025","voting_lists"
"377","10501","tadebouk i","RENACOM_377","RENACOM","421","10501","tedbouk1","bureau_10501076","voting_lists"
"377","10501","tadebouk i","RENACOM_377","RENACOM","451","10501","tedbouk2","bureau_10501106","voting_lists"
"377","10501","tadebouk i","RENACOM_377","RENACOM","466","10501","tedbouk3","bureau_10501121","voting_lists"
"378","10501","tadebouk ii","RENACOM_378","RENACOM","421","10501","tedbouk1","bureau_10501076","voting_lists"
"378","10501","tadebouk ii","RENACOM_378","RENACOM","451","10501","tedbouk2","bureau_10501106","voting_lists"
"378","10501","tadebouk ii","RENACOM_378","RENACOM","466","10501","tedbouk3","bureau_10501121","voting_lists"
"384","10501","batwil","RENACOM_384","RENACOM","379","10501","bitwil","bureau_10501034","voting_lists"
"385","10501","tchinzaghannene","RENACOM_385","RENACOM","398","10501","tchinsakane","bureau_10501053","voting_lists"
"389","10501","tagalalt","RENACOM_389","RENACOM","445","10501","tagalal","bureau_10501100","voting_lists"
"390","10501","tagdoumt(pe)","RENACOM_390","RENACOM","418","10501","tagdoum1","bureau_10501073","voting_lists"
"390","10501","tagdoumt(pe)","RENACOM_390","RENACOM","465","10501","tagdoum2","bureau_10501120","voting_lists"
"392","10501","tilmizalame (pe)","RENACOM_392","RENACOM","422","10501","tilmizalam","bureau_10501077","voting_lists"
"395","10501","assamaka","RENACOM_395","RENACOM","346","10501","assamaka","bureau_10501001","voting_lists"
"404","10603","tillia (pe)","RENACOM_404","RENACOM","709","10603","tilliya","bureau_10603074","voting_lists"
"406","10603","banaga (va)","RENACOM_406","RENACOM","687","10603","banaga","bureau_10603052","voting_lists"
"407","10603","berge (va)","RENACOM_407","RENACOM","688","10603","berge","bureau_10603053","voting_lists"
"408","10603","anfoug-est","RENACOM_408","RENACOM","695","10603","anfoug-est","bureau_10603060","voting_lists"
"408","10603","anfoug-est","RENACOM_408","RENACOM","696","10603","anfoug-ouest","bureau_10603061","voting_lists"
"410","10603","aoukadede","RENACOM_410","RENACOM","662","10603","aoukadede","bureau_10603027","voting_lists"
"417","10603","birni","RENACOM_417","RENACOM","705","10603","birni","bureau_10603070","voting_lists"
"418","10603","talat","RENACOM_418","RENACOM","679","10603","talat 1","bureau_10603044","voting_lists"
"418","10603","talat","RENACOM_418","RENACOM","680","10603","talat 2","bureau_10603045","voting_lists"
"421","10603","tilya","RENACOM_421","RENACOM","709","10603","tilliya","bureau_10603074","voting_lists"
"425","10603","atkaki (va)","RENACOM_425","RENACOM","664","10603","atkaki 1","bureau_10603029","voting_lists"
"425","10603","atkaki (va)","RENACOM_425","RENACOM","699","10603","atakaki 1","bureau_10603064","voting_lists"
"425","10603","atkaki (va)","RENACOM_425","RENACOM","700","10603","atakaki 2","bureau_10603065","voting_lists"
"429","10603","tabelot","RENACOM_429","RENACOM","637","10603","tabelot-toudou","bureau_10603002","voting_lists"
"429","10603","tabelot","RENACOM_429","RENACOM","638","10603","tabelot-est","bureau_10603003","voting_lists"
"434","10603","tamanet","RENACOM_434","RENACOM","712","10603","tamanat","bureau_10603077","voting_lists"
"437","10603","erewat","RENACOM_437","RENACOM","684","10603","erawat","bureau_10603049","voting_lists"
"441","10603","anfoug-ouest","RENACOM_441","RENACOM","695","10603","anfoug-est","bureau_10603060","voting_lists"
"441","10603","anfoug-ouest","RENACOM_441","RENACOM","696","10603","anfoug-ouest","bureau_10603061","voting_lists"
"442","10603","abardak (va)","RENACOM_442","RENACOM","681","10603","abardak 1","bureau_10603046","voting_lists"
"442","10603","abardak (va)","RENACOM_442","RENACOM","682","10603","abardak 2","bureau_10603047","voting_lists"
"446","10603","talat (illyalene)","RENACOM_446","RENACOM","679","10603","talat 1","bureau_10603044","voting_lists"
"446","10603","talat (illyalene)","RENACOM_446","RENACOM","680","10603","talat 2","bureau_10603045","voting_lists"
"454","10603","tagalat","RENACOM_454","RENACOM","706","10603","tagalat","bureau_10603071","voting_lists"
"455","10603","takaref","RENACOM_455","RENACOM","636","10603","tekaref","bureau_10603001","voting_lists"
"463","10603","ara","RENACOM_463","RENACOM","655","10603","ara","bureau_10603020","voting_lists"
"467","10603","anouzegrine","RENACOM_467","RENACOM","704","10603","anouzigrene","bureau_10603069","voting_lists"
"469","10603","bargot","RENACOM_469","RENACOM","656","10603","bargot","bureau_10603021","voting_lists"
"471","10603","emalaoule","RENACOM_471","RENACOM","661","10603","emalawle","bureau_10603026","voting_lists"
"475","10603","anoumoulan","RENACOM_475","RENACOM","660","10603","anou molan","bureau_10603025","voting_lists"
"482","10603","tamanit","RENACOM_482","RENACOM","712","10603","tamanat","bureau_10603077","voting_lists"
"483","10604","cyte sonichar","RENACOM_483","RENACOM","783","10604","cite sonichar 1","bureau_10604070","voting_lists"
"483","10604","cyte sonichar","RENACOM_483","RENACOM","784","10604","cite sonichar 2","bureau_10604071","voting_lists"
"485","10604","islamique","RENACOM_485","RENACOM","777","10604","islamique","bureau_10604064","voting_lists"
"491","10604","tchiro-centre","RENACOM_491","RENACOM","778","10604","tchiro-centre","bureau_10604065","voting_lists"
"492","10604","intamadet (qt)","RENACOM_492","RENACOM","727","10604","intamat","bureau_10604014","voting_lists"
"492","10604","intamadet (qt)","RENACOM_492","RENACOM","779","10604","intamade","bureau_10604066","voting_lists"
"492","10604","intamadet (qt)","RENACOM_492","RENACOM","840","10604","intamat 1","bureau_10604127","voting_lists"
"492","10604","intamadet (qt)","RENACOM_492","RENACOM","841","10604","intamat 2","bureau_10604128","voting_lists"
"496","10604","egandawel","RENACOM_496","RENACOM","739","10604","egandawel1","bureau_10604026","voting_lists"
"496","10604","egandawel","RENACOM_496","RENACOM","740","10604","egandawel2","bureau_10604027","voting_lists"
"496","10604","egandawel","RENACOM_496","RENACOM","741","10604","egandawel3","bureau_10604028","voting_lists"
"497","10604","mardane","RENACOM_497","RENACOM","742","10604","mordane","bureau_10604029","voting_lists"
"499","10604","tassamakat","RENACOM_499","RENACOM","848","10604","tassamakat","bureau_10604135","voting_lists"
"504","10604","azzel ecole (va)","RENACOM_504","RENACOM","822","10604","azzel-ecole","bureau_10604109","voting_lists"
"505","10604","tchimbra (vt)","RENACOM_505","RENACOM","820","10604","tchimbram","bureau_10604107","voting_lists"
"506","10604","atri (va)","RENACOM_506","RENACOM","834","10604","attri 1","bureau_10604121","voting_lists"
"506","10604","atri (va)","RENACOM_506","RENACOM","835","10604","attri 2","bureau_10604122","voting_lists"
"516","10604","intamate","RENACOM_516","RENACOM","727","10604","intamat","bureau_10604014","voting_lists"
"516","10604","intamate","RENACOM_516","RENACOM","779","10604","intamade","bureau_10604066","voting_lists"
"516","10604","intamate","RENACOM_516","RENACOM","840","10604","intamat 1","bureau_10604127","voting_lists"
"516","10604","intamate","RENACOM_516","RENACOM","841","10604","intamat 2","bureau_10604128","voting_lists"
"517","10604","inousli","RENACOM_517","RENACOM","845","10604","inousli","bureau_10604132","voting_lists"
"523","10604","boudari","RENACOM_523","RENACOM","743","10604","boudari","bureau_10604030","voting_lists"
"526","10604","azel sabongari","RENACOM_526","RENACOM","826","10604","azzel-sabon gari","bureau_10604113","voting_lists"
"527","10604","tafadek","RENACOM_527","RENACOM","757","10604","tafadak","bureau_10604044","voting_lists"
"528","10604","tchintabiz guine","RENACOM_528","RENACOM","803","10604","tchintebizguine","bureau_10604090","voting_lists"
"529","10604","waratahalt","RENACOM_529","RENACOM","754","10604","waratahatt","bureau_10604041","voting_lists"
"532","10604","agarouss (va)","RENACOM_532","RENACOM","774","10604","agharouss","bureau_10604061","voting_lists"
"535","10604","hamzane","RENACOM_535","RENACOM","812","10604","hamzane","bureau_10604099","voting_lists"
"538","10604","issakanan (pe)","RENACOM_538","RENACOM","734","10604","issakanane","bureau_10604021","voting_lists"
"539","10604","sakafat","RENACOM_539","RENACOM","749","10604","sakafat1","bureau_10604036","voting_lists"
"539","10604","sakafat","RENACOM_539","RENACOM","750","10604","sakafat2","bureau_10604037","voting_lists"
"541","10604","innichirighatan","RENACOM_541","RENACOM","788","10604","inichirighatan","bureau_10604075","voting_lists"
"542","10604","toumga i","RENACOM_542","RENACOM","786","10604","toumga","bureau_10604073","voting_lists"
"542","10604","toumga i","RENACOM_542","RENACOM","790","10604","toumga 2","bureau_10604077","voting_lists"
"543","10604","toumga ii","RENACOM_543","RENACOM","786","10604","toumga","bureau_10604073","voting_lists"
"543","10604","toumga ii","RENACOM_543","RENACOM","790","10604","toumga 2","bureau_10604077","voting_lists"
"544","10604","kampala i","RENACOM_544","RENACOM","767","10604","kampala","bureau_10604054","voting_lists"
"544","10604","kampala i","RENACOM_544","RENACOM","789","10604","kampala 1","bureau_10604076","voting_lists"
"545","10604","kampala ii","RENACOM_545","RENACOM","767","10604","kampala","bureau_10604054","voting_lists"
"545","10604","kampala ii","RENACOM_545","RENACOM","789","10604","kampala 1","bureau_10604076","voting_lists"
"553","10604","anissamane","RENACOM_553","RENACOM","793","10604","anissamane","bureau_10604080","voting_lists"
"554","10604","imassaknan (vt)","RENACOM_554","RENACOM","819","10604","imassakanane","bureau_10604106","voting_lists"
"555","10604","aratane","RENACOM_555","RENACOM","842","10604","aratan","bureau_10604129","voting_lists"
"557","10604","awliguine","RENACOM_557","RENACOM","761","10604","awiligune","bureau_10604048","voting_lists"
"561","10604","inghagui","RENACOM_561","RENACOM","762","10604","inghi ghi","bureau_10604049","voting_lists"
"562","10604","inwajghir","RENACOM_562","RENACOM","837","10604","inwajgar","bureau_10604124","voting_lists"
"563","10604","kawna","RENACOM_563","RENACOM","775","10604","kanna","bureau_10604062","voting_lists"
"568","10604","tif yagh yagh","RENACOM_568","RENACOM","787","10604","tifyagh-yagh","bureau_10604074","voting_lists"
"568","10604","tif yagh yagh","RENACOM_568","RENACOM","791","10604","tifyagh-yagh 2","bureau_10604078","voting_lists"
"573","10604","tendawen","RENACOM_573","RENACOM","851","10604","tendawen-sabongari","bureau_10604138","voting_lists"
"573","10604","tendawen","RENACOM_573","RENACOM","858","10604","tendawen-sabongari","bureau_10604145","voting_lists"
"573","10604","tendawen","RENACOM_573","RENACOM","860","10604","tendawen-erwa","bureau_10604147","voting_lists"
"576","10604","battle","RENACOM_576","RENACOM","768","10604","batal","bureau_10604055","voting_lists"
"580","10604","afara","RENACOM_580","RENACOM","758","10604","afara","bureau_10604045","voting_lists"
"580","10604","afara","RENACOM_580","RENACOM","800","10604","afara","bureau_10604087","voting_lists"
"597","10201","cite somair","RENACOM_597","RENACOM","117","10201","cite somair areva a","bureau_10201028","voting_lists"
